@file,1,DJM-S7,,,,,,,,,,,,
PAD7_PadMode7,PAD7_PadMode7,Pad,,9766,9866,,,,9766,9866,,,Fast,
PAD7_PadMode7+Shift,PAD7_PadMode7+Shift,Pad,,976E,986E,,,,976E,986E,,,Fast,
PAD7_PadMode8,PAD7_PadMode8,Pad,,9776,9876,,,,9776,9876,,,Fast,
PAD7_PadMode8+Shift,PAD7_PadMode8+Shift,Pad,,977E,987E,,,,977E,987E,,,Fast,
,,,,,,,,,,,,,,
PAD8_PadMode1,PAD8_PadMode1,Pad,,9707,9807,,,,9707,9807,,,Fast,
PAD8_PadMode1+Shift,PAD8_PadMode1+Shift,Pad,,970F,980F,,,,970F,980F,,,Fast,
PAD8_PadMode2,PAD8_PadMode2,Pad,,9717,9817,,,,9717,9817,,,Fast,
PAD8_PadMode2+Shift,PAD8_PadMode2+Shift,Pad,,971F,981F,,,,971F,981F,,,Fast,
PAD8_PadMode3,PAD8_PadMode3,Pad,,9727,9827,,,,9727,9827,,,Fast,
PAD8_PadMode3+Shift,PAD8_PadMode3+Shift,Pad,,972F,982F,,,,972F,982F,,,Fast,
PAD8_PadMode4,PAD8_PadMode4,Pad,,9737,9837,,,,9737,9837,,,Fast,
PAD8_PadMode4+Shift,PAD8_PadMode4+Shift,Pad,,973F,983F,,,,973F,983F,,,Fast,
PAD8_PadMode5,PAD8_PadMode5,Pad,,9747,9847,,,,9747,9847,,,Fast,
PAD8_PadMode5+Shift,PAD8_PadMode5+Shift,Pad,,974F,984F,,,,974F,984F,,,Fast,
PAD8_PadMode6,PAD8_PadMode6,Pad,,9757,9857,,,,9757,9857,,,Fast,
PAD8_PadMode6+Shift,PAD8_PadMode6+Shift,Pad,,975F,985F,,,,975F,985F,,,Fast,
PAD8_PadMode7,PAD8_PadMode7,Pad,,9767,9867,,,,9767,9867,,,Fast,
PAD8_PadMode7+Shift,PAD8_PadMode7+Shift,Pad,,976F,986F,,,,976F,986F,,,Fast,
PAD8_PadMode8,PAD8_PadMode8,Pad,,9777,9877,,,,9777,9877,,,Fast,
PAD8_PadMode8+Shift,PAD8_PadMode8+Shift,Pad,,977F,987F,,,,977F,987F,,,Fast,
,,,,,,,,,,,,,,
PAD9_PadMode1,PAD9_PadMode1,Pad,,9D00,9E00,,,,9D00,9E00,,,Fast,
PAD9_PadMode1+Shift,PAD9_PadMode1+Shift,Pad,,9D08,9E08,,,,9D08,9E08,,,Fast,
PAD9_PadMode2,PAD9_PadMode2,Pad,,9D10,9E10,,,,9D10,9E10,,,Fast,
PAD9_PadMode2+Shift,PAD9_PadMode2+Shift,Pad,,9D18,9E18,,,,9D18,9E18,,,Fast,
PAD9_PadMode3,PAD9_PadMode3,Pad,,9D20,9E20,,,,9D20,9E20,,,Fast,
PAD9_PadMode3+Shift,PAD9_PadMode3+Shift,Pad,,9D28,9E28,,,,9D28,9E28,,,Fast,
PAD9_PadMode4,PAD9_PadMode4,Pad,,9D30,9E30,,,,9D30,9E30,,,Fast,
PAD9_PadMode4+Shift,PAD9_PadMode4+Shift,Pad,,9D38,9E38,,,,9D38,9E38,,,Fast,
PAD9_PadMode5,PAD9_PadMode5,Pad,,9B00,9C00,,,,9B00,9C00,,,Fast,
PAD9_PadMode5+Shift,PAD9_PadMode5+Shift,Pad,,9B08,9C08,,,,9B08,9C08,,,Fast,
PAD9_PadMode6,PAD9_PadMode6,Pad,,9B10,9C10,,,,9B10,9C10,,,Fast,
PAD9_PadMode6+Shift,PAD9_PadMode6+Shift,Pad,,9B18,9C18,,,,9B18,9C18,,,Fast,
PAD9_PadMode7,PAD9_PadMode7,Pad,,9B20,9C20,,,,9B20,9C20,,,Fast,
PAD9_PadMode7+Shift,PAD9_PadMode7+Shift,Pad,,9B28,9C28,,,,9B28,9C28,,,Fast,
PAD9_PadMode8,PAD9_PadMode8,Pad,,9B30,9C30,,,,9B30,9C30,,,Fast,
PAD9_PadMode8+Shift,PAD9_PadMode8+Shift,Pad,,9B38,9C38,,,,9B38,9C38,,,Fast,
,,,,,,,,,,,,,,
PAD10_PadMode1,PAD10_PadMode1,Pad,,9D01,9E01,,,,9D01,9E01,,,Fast,
PAD10_PadMode1+Shift,PAD10_PadMode1+Shift,Pad,,9D09,9E09,,,,9D09,9E09,,,Fast,
PAD10_PadMode2,PAD10_PadMode2,Pad,,9D11,9E11,,,,9D11,9E11,,,Fast,
PAD10_PadMode2+Shift,PAD10_PadMode2+Shift,Pad,,9D19,9E19,,,,9D19,9E19,,,Fast,
PAD10_PadMode3,PAD10_PadMode3,Pad,,9D21,9E21,,,,9D21,9E21,,,Fast,
PAD10_PadMode3+Shift,PAD10_PadMode3+Shift,Pad,,9D29,9E29,,,,9D29,9E29,,,Fast,
PAD10_PadMode4,PAD10_PadMode4,Pad,,9D31,9E31,,,,9D31,9E31,,,Fast,
PAD10_PadMode4+Shift,PAD10_PadMode4+Shift,Pad,,9D39,9E39,,,,9D39,9E39,,,Fast,
PAD10_PadMode5,PAD10_PadMode5,Pad,,9B01,9C01,,,,9B01,9C01,,,Fast,
PAD10_PadMode5+Shift,PAD10_PadMode5+Shift,Pad,,9B09,9C09,,,,9B09,9C09,,,Fast,
PAD10_PadMode6,PAD10_PadMode6,Pad,,9B11,9C11,,,,9B11,9C11,,,Fast,
PAD10_PadMode6+Shift,PAD10_PadMode6+Shift,Pad,,9B19,9C19,,,,9B19,9C19,,,Fast,
PAD10_PadMode7,PAD10_PadMode7,Pad,,9B21,9C21,,,,9B21,9C21,,,Fast,
PAD10_PadMode7+Shift,PAD10_PadMode7+Shift,Pad,,9B29,9C29,,,,9B29,9C29,,,Fast,
PAD10_PadMode8,PAD10_PadMode8,Pad,,9B31,9C31,,,,9B31,9C31,,,Fast,
PAD10_PadMode8+Shift,PAD10_PadMode8+Shift,Pad,,9B39,9C39,,,,9B39,9C39,,,Fast,
,,,,,,,,,,,,,,
PAD11_PadMode1,PAD11_PadMode1,Pad,,9D02,9E02,,,,9D02,9E02,,,Fast,
PAD11_PadMode1+Shift,PAD11_PadMode1+Shift,Pad,,9D0A,9E0A,,,,9D0A,9E0A,,,Fast,
PAD11_PadMode2,PAD11_PadMode2,Pad,,9D12,9E12,,,,9D12,9E12,,,Fast,
PAD11_PadMode2+Shift,PAD11_PadMode2+Shift,Pad,,9D1A,9E1A,,,,9D1A,9E1A,,,Fast,
PAD11_PadMode3,PAD11_PadMode3,Pad,,9D22,9E22,,,,9D22,9E22,,,Fast,
PAD11_PadMode3+Shift,PAD11_PadMode3+Shift,Pad,,9D2A,9E2A,,,,9D2A,9E2A,,,Fast,
PAD11_PadMode4,PAD11_PadMode4,Pad,,9D32,9E32,,,,9D32,9E32,,,Fast,
PAD11_PadMode4+Shift,PAD11_PadMode4+Shift,Pad,,9D3A,9E3A,,,,9D3A,9E3A,,,Fast,
PAD11_PadMode5,PAD11_PadMode5,Pad,,9B02,9C02,,,,9B02,9C02,,,Fast,
PAD11_PadMode5+Shift,PAD11_PadMode5+Shift,Pad,,9B0A,9C0A,,,,9B0A,9C0A,,,Fast,
PAD11_PadMode6,PAD11_PadMode6,Pad,,9B12,9C12,,,,9B12,9C12,,,Fast,
PAD11_PadMode6+Shift,PAD11_PadMode6+Shift,Pad,,9B1A,9C1A,,,,9B1A,9C1A,,,Fast,
PAD11_PadMode7,PAD11_PadMode7,Pad,,9B22,9C22,,,,9B22,9C22,,,Fast,
PAD11_PadMode7+Shift,PAD11_PadMode7+Shift,Pad,,9B2A,9C2A,,,,9B2A,9C2A,,,Fast,
PAD11_PadMode8,PAD11_PadMode8,Pad,,9B32,9C32,,,,9B32,9C32,,,Fast,
PAD11_PadMode8+Shift,PAD11_PadMode8+Shift,Pad,,9B3A,9C3A,,,,9B3A,9C3A,,,Fast,
,,,,,,,,,,,,,,
PAD12_PadMode1,PAD12_PadMode1,Pad,,9D03,9E03,,,,9D03,9E03,,,Fast,
PAD12_PadMode1+Shift,PAD12_PadMode1+Shift,Pad,,9D0B,9E0B,,,,9D0B,9E0B,,,Fast,
PAD12_PadMode2,PAD12_PadMode2,Pad,,9D13,9E13,,,,9D13,9E13,,,Fast,
PAD12_PadMode2+Shift,PAD12_PadMode2+Shift,Pad,,9D1B,9E1B,,,,9D1B,9E1B,,,Fast,
PAD12_PadMode3,PAD12_PadMode3,Pad,,9D23,9E23,,,,9D23,9E23,,,Fast,
PAD12_PadMode3+Shift,PAD12_PadMode3+Shift,Pad,,9D2B,9E2B,,,,9D2B,9E2B,,,Fast,
PAD12_PadMode4,PAD12_PadMode4,Pad,,9D33,9E33,,,,9D33,9E33,,,Fast,
PAD12_PadMode4+Shift,PAD12_PadMode4+Shift,Pad,,9D3B,9E3B,,,,9D3B,9E3B,,,Fast,
PAD12_PadMode5,PAD12_PadMode5,Pad,,9B03,9C03,,,,9B03,9C03,,,Fast,
PAD12_PadMode5+Shift,PAD12_PadMode5+Shift,Pad,,9B0B,9C0B,,,,9B0B,9C0B,,,Fast,
PAD12_PadMode6,PAD12_PadMode6,Pad,,9B13,9C13,,,,9B13,9C13,,,Fast,
PAD12_PadMode6+Shift,PAD12_PadMode6+Shift,Pad,,9B1B,9C1B,,,,9B1B,9C1B,,,Fast,
PAD12_PadMode7,PAD12_PadMode7,Pad,,9B23,9C23,,,,9B23,9C23,,,Fast,
PAD12_PadMode7+Shift,PAD12_PadMode7+Shift,Pad,,9B2B,9C2B,,,,9B2B,9C2B,,,Fast,
PAD12_PadMode8,PAD12_PadMode8,Pad,,9B33,9C33,,,,9B33,9C33,,,Fast,
PAD12_PadMode8+Shift,PAD12_PadMode8+Shift,Pad,,9B3B,9C3B,,,,9B3B,9C3B,,,Fast,
,,,,,,,,,,,,,,
PAD13_PadMode1,PAD13_PadMode1,Pad,,9D04,9E04,,,,9D04,9E04,,,Fast,
PAD13_PadMode1+Shift,PAD13_PadMode1+Shift,Pad,,9D0C,9E0C,,,,9D0C,9E0C,,,Fast,
PAD13_PadMode2,PAD13_PadMode2,Pad,,9D14,9E14,,,,9D14,9E14,,,Fast,
PAD13_PadMode2+Shift,PAD13_PadMode2+Shift,Pad,,9D1C,9E1C,,,,9D1C,9E1C,,,Fast,
PAD13_PadMode3,PAD13_PadMode3,Pad,,9D24,9E24,,,,9D24,9E24,,,Fast,
PAD13_PadMode3+Shift,PAD13_PadMode3+Shift,Pad,,9D2C,9E2C,,,,9D2C,9E2C,,,Fast,
PAD13_PadMode4,PAD13_PadMode4,Pad,,9D34,9E34,,,,9D34,9E34,,,Fast,
PAD13_PadMode4+Shift,PAD13_PadMode4+Shift,Pad,,9D3C,9E3C,,,,9D3C,9E3C,,,Fast,
PAD13_PadMode5,PAD13_PadMode5,Pad,,9B04,9C04,,,,9B04,9C04,,,Fast,
PAD13_PadMode5+Shift,PAD13_PadMode5+Shift,Pad,,9B0C,9C0C,,,,9B0C,9C0C,,,Fast,
PAD13_PadMode6,PAD13_PadMode6,Pad,,9B14,9C14,,,,9B14,9C14,,,Fast,
PAD13_PadMode6+Shift,PAD13_PadMode6+Shift,Pad,,9B1C,9C1C,,,,9B1C,9C1C,,,Fast,
PAD13_PadMode7,PAD13_PadMode7,Pad,,9B24,9C24,,,,9B24,9C24,,,Fast,
PAD13_PadMode7+Shift,PAD13_PadMode7+Shift,Pad,,9B2C,9C2C,,,,9B2C,9C2C,,,Fast,
PAD13_PadMode8,PAD13_PadMode8,Pad,,9B34,9C34,,,,9B34,9C34,,,Fast,
PAD13_PadMode8+Shift,PAD13_PadMode8+Shift,Pad,,9B3C,9C3C,,,,9B3C,9C3C,,,Fast,
,,,,,,,,,,,,,,
PAD14_PadMode1,PAD14_PadMode1,Pad,,9D05,9E05,,,,9D05,9E05,,,Fast,
PAD14_PadMode1+Shift,PAD14_PadMode1+Shift,Pad,,9D0D,9E0D,,,,9D0D,9E0D,,,Fast,
PAD14_PadMode2,PAD14_PadMode2,Pad,,9D15,9E15,,,,9D15,9E15,,,Fast,
PAD14_PadMode2+Shift,PAD14_PadMode2+Shift,Pad,,9D1D,9E1D,,,,9D1D,9E1D,,,Fast,
PAD14_PadMode3,PAD14_PadMode3,Pad,,9D25,9E25,,,,9D25,9E25,,,Fast,
PAD14_PadMode3+Shift,PAD14_PadMode3+Shift,Pad,,9D2D,9E2D,,,,9D2D,9E2D,,,Fast,
PAD14_PadMode4,PAD14_PadMode4,Pad,,9D35,9E35,,,,9D35,9E35,,,Fast,
PAD14_PadMode4+Shift,PAD14_PadMode4+Shift,Pad,,9D3D,9E3D,,,,9D3D,9E3D,,,Fast,
PAD14_PadMode5,PAD14_PadMode5,Pad,,9B05,9C05,,,,9B05,9C05,,,Fast,
PAD14_PadMode5+Shift,PAD14_PadMode5+Shift,Pad,,9B0D,9C0D,,,,9B0D,9C0D,,,Fast,
PAD14_PadMode6,PAD14_PadMode6,Pad,,9B15,9C15,,,,9B15,9C15,,,Fast,
PAD14_PadMode6+Shift,PAD14_PadMode6+Shift,Pad,,9B1D,9C1D,,,,9B1D,9C1D,,,Fast,
PAD14_PadMode7,PAD14_PadMode7,Pad,,9B25,9C25,,,,9B25,9C25,,,Fast,
PAD14_PadMode7+Shift,PAD14_PadMode7+Shift,Pad,,9B2D,9C2D,,,,9B2D,9C2D,,,Fast,
PAD14_PadMode8,PAD14_PadMode8,Pad,,9B35,9C35,,,,9B35,9C35,,,Fast,
PAD14_PadMode8+Shift,PAD14_PadMode8+Shift,Pad,,9B3D,9C3D,,,,9B3D,9C3D,,,Fast,
,,,,,,,,,,,,,,
PAD15_PadMode1,PAD15_PadMode1,Pad,,9D06,9E06,,,,9D06,9E06,,,Fast,
PAD15_PadMode1+Shift,PAD15_PadMode1+Shift,Pad,,9D0E,9E0E,,,,9D0E,9E0E,,,Fast,
PAD15_PadMode2,PAD15_PadMode2,Pad,,9D16,9E16,,,,9D16,9E16,,,Fast,
PAD15_PadMode2+Shift,PAD15_PadMode2+Shift,Pad,,9D1E,9E1E,,,,9D1E,9E1E,,,Fast,
PAD15_PadMode3,PAD15_PadMode3,Pad,,9D26,9E26,,,,9D26,9E26,,,Fast,
PAD15_PadMode3+Shift,PAD15_PadMode3+Shift,Pad,,9D2E,9E2E,,,,9D2E,9E2E,,,Fast,
PAD15_PadMode4,PAD15_PadMode4,Pad,,9D36,9E36,,,,9D36,9E36,,,Fast,
PAD15_PadMode4+Shift,PAD15_PadMode4+Shift,Pad,,9D3E,9E3E,,,,9D3E,9E3E,,,Fast,
PAD15_PadMode5,PAD15_PadMode5,Pad,,9B06,9C06,,,,9B06,9C06,,,Fast,
PAD15_PadMode5+Shift,PAD15_PadMode5+Shift,Pad,,9B0E,9C0E,,,,9B0E,9C0E,,,Fast,
PAD15_PadMode6,PAD15_PadMode6,Pad,,9B16,9C16,,,,9B16,9C16,,,Fast,
PAD15_PadMode6+Shift,PAD15_PadMode6+Shift,Pad,,9B1E,9C1E,,,,9B1E,9C1E,,,Fast,
PAD15_PadMode7,PAD15_PadMode7,Pad,,9B26,9C26,,,,9B26,9C26,,,Fast,
PAD15_PadMode7+Shift,PAD15_PadMode7+Shift,Pad,,9B2E,9C2E,,,,9B2E,9C2E,,,Fast,
PAD15_PadMode8,PAD15_PadMode8,Pad,,9B36,9C36,,,,9B36,9C36,,,Fast,
PAD15_PadMode8+Shift,PAD15_PadMode8+Shift,Pad,,9B3E,9C3E,,,,9B3E,9C3E,,,Fast,
,,,,,,,,,,,,,,
PAD16_PadMode1,PAD16_PadMode1,Pad,,9D07,9E07,,,,9D07,9E07,,,Fast,
PAD16_PadMode1+Shift,PAD16_PadMode1+Shift,Pad,,9D0F,9E0F,,,,9D0F,9E0F,,,Fast,
PAD16_PadMode2,PAD16_PadMode2,Pad,,9D17,9E17,,,,9D17,9E17,,,Fast,
PAD16_PadMode2+Shift,PAD16_PadMode2+Shift,Pad,,9D1F,9E1F,,,,9D1F,9E1F,,,Fast,
PAD16_PadMode3,PAD16_PadMode3,Pad,,9D27,9E27,,,,9D27,9E27,,,Fast,
PAD16_PadMode3+Shift,PAD16_PadMode3+Shift,Pad,,9D2F,9E2F,,,,9D2F,9E2F,,,Fast,
PAD16_PadMode4,PAD16_PadMode4,Pad,,9D37,9E37,,,,9D37,9E37,,,Fast,
PAD16_PadMode4+Shift,PAD16_PadMode4+Shift,Pad,,9D3F,9E3F,,,,9D3F,9E3F,,,Fast,
PAD16_PadMode5,PAD16_PadMode5,Pad,,9B07,9C07,,,,9B07,9C07,,,Fast,
PAD16_PadMode5+Shift,PAD16_PadMode5+Shift,Pad,,9B0F,9C0F,,,,9B0F,9C0F,,,Fast,
PAD16_PadMode6,PAD16_PadMode6,Pad,,9B17,9C17,,,,9B17,9C17,,,Fast,
PAD16_PadMode6+Shift,PAD16_PadMode6+Shift,Pad,,9B1F,9C1F,,,,9B1F,9C1F,,,Fast,
PAD16_PadMode7,PAD16_PadMode7,Pad,,9B27,9C27,,,,9B27,9C27,,,Fast,
PAD16_PadMode7+Shift,PAD16_PadMode7+Shift,Pad,,9B2F,9C2F,,,,9B2F,9C2F,,,Fast,
PAD16_PadMode8,PAD16_PadMode8,Pad,,9B37,9C37,,,,9B37,9C37,,,Fast,
PAD16_PadMode8+Shift,PAD16_PadMode8+Shift,Pad,,9B3F,9C3F,,,,9B3F,9C3F,,,Fast,
,,,,,,,,,,,,,,
PadMode1,HotCue,Button,901B,0,1,,,901B,0,1,,,Fast,
PadMode2,Roll,Button,901E,0,1,,,901E,0,1,,,Fast,
PadMode3,SavedLoop,Button,9020,0,1,,,9020,0,1,,,Fast,
PadMode4,Sampler,Button,9022,0,1,,,9022,0,1,,,Fast,
PadMode5,PitchPlay,Button,9069,0,1,,,9069,0,1,,,Fast,
PadMode6,SlicerLoop,Button,906B,0,1,,,906B,0,1,,,Fast,
PadMode7,SavedFlip,Button,906D,0,1,,,906D,0,1,,,Fast,
PadMode8,ScratchBank,Button,906F,0,1,,,906F,0,1,,,Fast,
,,,,,,,,,,,,,,
PageLeft_PadMode1,,Button,9024,0,1,,,9024,0,1,,,,
Parameter1Left_Sampler,,Button,9001,0,1,,,9001,0,1,,,,
PageLeft_PadMode2,,Button,9025,0,1,,,9025,0,1,,,,
Parameter1Left_Sampler,,Button,9002,0,1,,,9002,0,1,,,,
PageLeft_PadMode3,,Button,9026,0,1,,,9026,0,1,,,,
Parameter1Left_Sampler,,Button,9003,0,1,,,9003,0,1,,,,
PageLeft_PadMode4,,Button,9027,0,1,,,9027,0,1,,,,
Parameter1Left_Sampler,,Button,9004,0,1,,,9004,0,1,,,,
PageLeft_PadMode5,,Button,9028,0,1,,,9028,0,1,,,,
Parameter1Left_Sampler,,Button,9005,0,1,,,9005,0,1,,,,
PageLeft_PadMode6,,Button,9029,0,1,,,9029,0,1,,,,
Parameter1Left_Sampler,,Button,9006,0,1,,,9006,0,1,,,,
PageLeft_PadMode7,,Button,902A,0,1,,,902A,0,1,,,,
Parameter1Left_Sampler,,Button,9007,0,1,,,9007,0,1,,,,
PageLeft_PadMode8,,Button,902B,0,1,,,902B,0,1,,,,
Parameter1Left_Sampler,,Button,9008,0,1,,,9008,0,1,,,,
,,,,,,,,,,,,,,
PageRight_PadMode1,,Button,902C,0,1,,,902C,0,1,,,,
Parameter1Right_Sampler,,Button,9009,0,1,,,9009,0,1,,,,
PageRight_PadMode2,,Button,902D,0,1,,,902D,0,1,,,,
Parameter1Right_Sampler,,Button,907A,0,1,,,907A,0,1,,,,
PageRight_PadMode3,,Button,902E,0,1,,,902E,0,1,,,,
Parameter1Right_Sampler,,Button,907B,0,1,,,907B,0,1,,,,
PageRight_PadMode4,,Button,902F,0,1,,,902F,0,1,,,,
Parameter1Right_Sampler,,Button,907C,0,1,,,907C,0,1,,,,
PageRight_PadMode5,,Button,9030,0,1,,,9030,0,1,,,,
Parameter1Right_Sampler,,Button,907D,0,1,,,907D,0,1,,,,
PageRight_PadMode6,,Button,9031,0,1,,,9031,0,1,,,,
Parameter1Right_Sampler,,Button,907E,0,1,,,907E,0,1,,,,
PageRight_PadMode7,,Button,9032,0,1,,,9032,0,1,,,,
Parameter1Right_Sampler,,Button,907F,0,1,,,907F,0,1,,,,
PageRight_PadMode8,,Button,9033,0,1,,,9033,0,1,,,,
Parameter1Right_Sampler,,Button,9000,0,1,,,9000,0,1,,,,
,,,,,,,,,,,,,,
Permission_PadMode1,Permission_PadMode1,Indicator,,,,,,9061,0,1,,,RO,Permission flag of PAGE change 01-A
Permission_PadMode2,Permission_PadMode2,Indicator,,,,,,906A,0,1,,,RO,Permission flag of PAGE change 02-A
Permission_PadMode3,Permission_PadMode3,Indicator,,,,,,906E,0,1,,,RO,Permission flag of PAGE change 03-A
Permission_PadMode4,Permission_PadMode4,Indicator,,,,,,9075,0,1,,,RO,Permission flag of PAGE change 04-A
Permission_PadMode5,Permission_PadMode5,Indicator,,,,,,9063,0,1,,,RO,Permission flag of PAGE change 01-B
Permission_PadMode6,Permission_PadMode6,Indicator,,,,,,906C,0,1,,,RO,Permission flag of PAGE change 02-B
Permission_PadMode7,Permission_PadMode7,Indicator,,,,,,9074,0,1,,,RO,Permission flag of PAGE change 03-B
Permission_PadMode8,Permission_PadMode8,Indicator,,,,,,9076,0,1,,,RO,Permission flag of PAGE change 04-B
,,,,,,,,,,,,,,
SamplerVolume,SamplerVolume,KnobSliderHiRes,B603,,,,,,,,,,,Sampler Volume
,,,,,,,,,,,,,,
# Parameter,,,,,,,,,,,,,,
MidiOutInterval,MidiOutInterval,Parameter,FFF3,,,,,,,,,,Value=1,
